cas_number,compound_name,smiles,hmt_count,hmt_positive,hmt_result,human_positive,sensitization_human,llna_count,llna_positive,llna_result,hript_count,hript_positive,hript_result,gpmt_count,gpmt_result,dpra_count,dpra_mean,dpra_result,keratinosens_count,keratinosens_ec15,keratinosens_result,hclat_count,hclat_mean,hclat_result,usens_count,usens_cv70,usens_result,dpra_cys,dpra_lys,adra_nac,adra_nal,kdpra_log,hclat_ec200,hclat_cv75,usens_cv70_ssd,il8luc,irritation,irritation_viability_mean,corrosion,corrosion_ter_mean,human_test_count,human_reliability,dtxsid,irritation_viability_mean_exist,corrosion_ghs_score,has_sensitization,has_irritation,has_corrosion,endpoint_count,strat_key,has_nam_data,acute_dermal_ld50,acute_dermal_ld50_min,acute_dermal_ld50_max,acute_dermal_count,acute_dermal_ghs,has_acute_dermal,acute_dermal_source,acute_dermal_toxic,mol_weight,logp,tpsa,hbd,hba,num_rotatable_bonds,num_aromatic_rings,fraction_csp3
06947-12-2,6-(Diethylamino)-1-hexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,,,,,,,,
100-01-6,p-Nitroaniline,C1=CC(=CC=C1N)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,1085.9649882267886,,,,4.0,0.0,NCI_RTECS,0.0,138.126,1.177,69.16,1.0,3.0,1.0,1.0,0.0
100-06-01,4-methoxy-acetophenone,CC(=O)C1=CC=C(C=C1)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,9988.213909661985,,,,5.0,0.0,NCI_RTECS,0.0,150.17699999999996,1.8978,26.3,0.0,2.0,2.0,1.0,0.2222222222222222
100-06-1,4'-Methoxyacetophenone,COC1=CC=C(C=C1)C(C)=O,4.0,False,0.0,False,0.0,2.0,False,0.0,,,,,,12.0,5.510000000000001,0.0,8.0,4.9,1.0,9.0,305.90000000000003,1.0,1.0,116.998,0.0,8.13,2.89,5.7,3.3,,,425.9957436,200.0,,,,,,1.0,3.0,DTXSID2044347,,,1.0,0.0,0.0,1.0,1_0_0,1.0,9988.213909661985,,,,5.0,0.0,NCI_RTECS,0.0,150.17699999999996,1.8978,26.3,0.0,2.0,2.0,1.0,0.2222222222222222
100-09-4,p-Anisic acid,COC1=CC=C(C=C1)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0_0_0,0.0,,,,,,0.0,,,152.14899999999997,1.3934,46.53,1.0,2.0,2.0,1.0,0.125
100-11-8,4-Nitrobenzylbromide,[O-][N+](=O)C1=CC=C(CBr)C=C1,,,,,,1.0,False,0.0,,,,,,8.0,65.81,1.0,91.0,0.98,1.0,6.0,1.82,0.0,1.0,1512.238,1.0,100.0,31.62,100.0,57.7,-0.007079993,0.909995788,3.6,0.4,3.9,,,,,,,DTXSID7049392,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,216.034,2.4897,43.14,0.0,2.0,2.0,1.0,0.1428571428571428
100-14-1,1-(Chloromethyl)-4-nitrobenzene,C1=CC(=CC=C1CCl)[N+](=O)[O-],,,,,,,,,,,,,,,,,,3.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,171.58299999999997,2.333600000000001,43.14,0.0,2.0,2.0,1.0,0.1428571428571428
100-39-0,alpha-Bromotoluene,BrCC1=CC=CC=C1,,,,,,1.0,False,0.0,,,,,,8.0,63.25,1.0,7.0,4.6,1.0,6.0,4.5200000000000005,0.0,1.0,1.1,1.0,100.0,26.5,96.3,34.7,-0.43,2.859969648,7.499920406,15.2,1.6,,,,,,,DTXSID8024658,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,171.037,2.5815,0.0,0.0,0.0,1.0,1.0,0.1428571428571428
100-41-4,Ethylbenzene,CCC1=CC=CC=C1,4.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,DTXSID3020596,,,1.0,0.0,0.0,1.0,1_0_0,0.0,,,,,,0.0,,,106.16799999999996,2.249000000000001,0.0,0.0,0.0,1.0,1.0,0.25
100-43-6,4-Vinylpyridine,C=CC1=CC=NC=C1,,,,,,2.0,True,1.0,,,,,,1.0,46.05,1.0,1.0,9.7,1.0,,,1.0,1.0,2.3,1.0,92.1,0.0,,,-1.04,5.700000068,11.40000013,6.9,,,,,,,,DTXSID0051499,,,1.0,0.0,0.0,1.0,1_0_0,1.0,,,,,,0.0,,,105.14,1.7246,12.89,0.0,1.0,1.0,1.0,0.0
